,pathway_BLTL,pval,padj_BLTL,ES_BLTL,NES_BLTL,nMoreExtreme_BLTL,size_BLTL,leadingEdgeA_BLTL,pathway_LoM,pval_LoM,padj_LoM,ES_LoM,NES_LoM,nMoreExtreme_LoM,size_LoM,leadingEdge_LoM
10,GO_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,0.000140509,0.007613499,0.741075504,4.403880597,0,47,"IFIT1,OAS1,ISG15,OASL,MX1,IFITM1,PLSCR1,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,SHFL,ISG20,IFITM3,IFI16,STAT1,TRIM14,IFNB1,TRIM6,IFNA2,PARP10,TRIM5,IFITM2,TRIM25,APOBEC3G,APOBEC3F",GO_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,0.00110742,0.089541483,0.666513956,3.257532617,0,44,"IFITM1,ISG15,OASL,MX1,OAS1,RSAD2,IFIT1,ISG20,IFITM3,OAS3,BST2,CCL5,OAS2,IFNB1,PARP10,TRIM14,CCL8,IFITM2,PML,STAT1,PLSCR1,TRIM21,SHFL,APOBEC3G,ZC3H12A,IFIT5,EIF2AK2,CCL3,APOBEC3F"
11,GO_VIRAL_GENOME_REPLICATION,0.000139606,0.007613499,0.719752795,4.367251837,0,50,"IFIT1,OAS1,ISG15,OASL,MX1,IFITM1,PLSCR1,RSAD2,IFIT5,BST2,OAS2,EIF2AK2,OAS3,CCL8,SHFL,ISG20,IFITM3,IFI16,CCL2,IFNB1,TRIM6,IFI27,ADAR,PPIB,FMR1,CXCL8,PARP10,IFITM2,APOBEC3G,APOBEC3F,TRIM38",GO_VIRAL_GENOME_REPLICATION,0.001127396,0.089541483,0.675590127,3.198502457,0,39,"IFITM1,ISG15,OASL,MX1,OAS1,IFI27,RSAD2,IFIT1,ISG20,IFITM3,OAS3,BST2,CXCL8,CCL5,OAS2,IFNB1,PARP10,CCL8,IFITM2,PLSCR1,SHFL,APOBEC3G,ZC3H12A,IFIT5,EIF2AK2,APOBEC3F"
12,GO_RESPONSE_TO_BIOTIC_STIMULUS,0.000108331,0.007613499,0.444448425,4.321454096,0,376,"IFIT1,MX2,HERC6,OAS1,ISG15,OASL,MX1,IFIT2,CMPK2,DDX58,IFI44L,IFI44,IFIT3,HERC5,IFITM1,IFI35,USP18,IFIH1,PLSCR1,CXCL10,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,NMI,NT5C3A,RTP4,PARP9,IRF7,CCL11,DTX3L,SHFL,IFI6,ISG20,BATF2,CHMP5,C1R,DDX60,IL1RN,IFITM3,IFI16,STAT1,SP100,PMAIP1,C1S,TRIM14,TRIM22,CCL2,CFB,IFNA5,XAF1,IFNB1,IFNA1,PARP14,IFNA21,DHX58,IFNA10,TENT5A,IFNA17,STAP1,GBP1,ZBP1,TRIM6,IFNA7,CXCL11,IFNA8,IFNL1,CD274,PSMB9,IFNA14,IFI27,B2M,ADAR,MYD88,TREX1,GBP3,FMR1,RGS1,SOCS1,MT2A,IFNA2,CXCL3,TLR3,PSMB8,MT1M,CXCL8,LGALS9,PSMA4,IL27,IFNA16,UBE2D1,DEFB1,PSMA6,IFNA6,MNDA,LY96,TRIM5,IFITM2,TRIM25,VIL1,IFNA4,APOBEC3G,PSME2,GCH1,IFNW1,C15orf48,APOBEC3F,IRF9,ACOD1,CD80,CXCL2,TRIM38,TICAM2,CNP,BATF3,UBD,PTGS2,SELENOS,PSMD8,IL1RAP,VCAM1,AQP4,WDFY1,CFH,SLC10A2,CGAS,LCN2,FCGR1A",GO_RESPONSE_TO_BIOTIC_STIMULUS,0.001001001,0.089541483,0.505983593,3.203489014,0,283,"IFITM1,ISG15,IFI6,IFI44L,ZBP1,MX2,OASL,MX1,OAS1,PSMB9,IFI27,IRF7,IFI35,MT2A,RSAD2,IFIT1,ISG20,RTP4,IFIT3,HERC6,CD177,IFITM3,IFNL1,LGALS9,C4B,CMPK2,CCL19,CXCL1,BATF2,PSMB8,OAS3,C1R,BST2,CXCL8,CFB,IFI44,USP18,NLRC5,CCL5,FGA,C4A,MT1M,XAF1,CXCL2,IFIT2,OAS2,IFNB1,TREX1,LCN2,AIM2,TRIM14,C15orf48,CCL8,DDX58,IFNL2,HERC5,IFITM2,PML,CXCL3,APOL1,IFIH1,IGHG4,TMEM229B,IRF9,STAT1,SOCS1,PSMB10,HLA-F,BIRC3,JUNB,HLA-H,DTX3L,BATF,PARP9,MUC4,FOSL1,PARP14,RGS1,DHX58,PLSCR1,CSF3,TRIM21,DDX60,JAK3,IRF1,SHFL,SAA1,APOBEC3G,UBD,LRG1,BCL3,UNC93B1,LAG3,GBP1,NT5C3A,TRIM22,ZC3H12A,CCL7,SOCS3,FGG,IFIT5,SLAMF7,PTGES,ALPL,SPINK5,SELE,ARID5A,IDO1,EIF2AK2,CXCL10,CCL3,APOBEC3F,BATF3,PRSS2,CXCL11,NMI,CSF1,HLA-G,PMAIP1,FAM20A,RELB,STAT2,CCL13,CX3CL1,HLA-E,GCH1,CCL2,CNP,FOS,ADAR,GSDMD,GGT5,IFNL3,TRIM56,B2M,SAMHD1,APOBEC3A,IKZF3,IL22RA1,SFTPA2,TRIM25,EGR1,HP,SBNO2,C1S,DEFB4A,MYD88,IFNE,TLR3,VCAM1,GBP4,TNIP3,GBP2,APOBEC3D,MICB"
13,GO_NEGATIVE_REGULATION_OF_VIRAL_LIFE_CYCLE,0.000143843,0.007613499,0.757220524,4.313777876,0,42,"IFIT1,OAS1,ISG15,OASL,MX1,IFITM1,PLSCR1,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,SHFL,ISG20,IFITM3,IFI16,IFNB1,TRIM6,IFNA2,PARP10,TRIM5,IFITM2,TRIM25,APOBEC3G,APOBEC3F",GO_NEGATIVE_REGULATION_OF_VIRAL_LIFE_CYCLE,0.001127396,0.089541483,0.673702858,3.189567404,0,39,"IFITM1,ISG15,OASL,MX1,OAS1,RSAD2,IFIT1,ISG20,IFITM3,OAS3,BST2,CCL5,OAS2,IFNB1,PARP10,CCL8,IFITM2,PML,PLSCR1,TRIM21,SHFL,APOBEC3G,ZC3H12A,IFIT5,EIF2AK2,APOBEC3F"
14,GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY,0.000113572,0.007613499,0.473456395,4.278677984,0,236,"IFIT1,MX2,OAS1,ISG15,OASL,MX1,IFIT2,IFIT3,IFITM1,IFI35,USP18,CXCL10,RSAD2,TRIM21,BST2,OAS2,OAS3,CCL8,NMI,PARP9,IRF7,CCL11,IFI6,ISG20,TNFSF13B,IL1RN,IFITM3,STAT1,SP100,TRIM22,CCL2,IFNA5,XAF1,IFNB1,IFNA1,PARP14,IFNA21,IFNA10,IFNA17,STAP1,GBP1,ZBP1,TRIM6,IFNA7,CXCL11,IFNA8,IFNL1,MMP1,PSMB9,IFNA14,IFI27,B2M,ADAR,MYD88,TREX1,SOCS1,MT2A,IFNA2,CXCL3,PSMB8,HSPA8,CXCL8,PSMA4,IL27,TNFSF18,IFNA16,PSMA6,IFNA6,TRIM5,ACKR4,IFITM2,TRIM25,IFNA4,CEBPD,PSME2,BOLA2B,IFNW1,IRF9,CD80,CXCL2,TRIM38,TICAM2,PTGS2,PSMD8,IL1RAP,ELF1,VCAM1,LCN2,FCGR1A,BOLA2,PSMA2,CCR1,IL6,FCGR1B,PSMA3,FGF2,CCL25",GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY,0.001004016,0.089541483,0.513002115,3.140107905,0,176,"IFITM1,ISG15,IFI6,ZBP1,MX2,OASL,MX1,OAS1,PSMB9,IFI27,IRF7,IFI35,MT2A,RSAD2,IFIT1,ISG20,IFIT3,IFITM3,IFNL1,ACKR1,CCL19,CXCL1,PSMB8,OAS3,BST2,CXCL8,TNFRSF6B,USP18,NLRC5,CCL5,XAF1,CXCL2,IFIT2,OAS2,IFNB1,TREX1,LCN2,AIM2,CCL8,IFNL2,IFITM2,PML,CXCL3,IGHG4,LIF,IRF9,STAT1,SOCS1,PSMB10,HLA-F,TNFSF14,BIRC3,JUNB,HLA-H,BATF,PARP9,PARP14,CSF3,TRIM21,JAK3,IRF1,TNFSF13B,SAA1,TIMP1,GBP1,TRIM22,CCL7,SOCS3,CXCL10,MYC,CCL3,IL32,RBCK1,HMOX1,CXCL11,NMI,CSF1,HLA-G,F3,STAT2,CCL13,TNFRSF9,CX3CL1,HLA-E,CCL2,CEBPD,FOS,ADAR,IL15RA,IFNL3,B2M,SAMHD1,IL22RA1,TRIM25,EGR1,MMP3,MYD88,IFNE,VCAM1,GBP2,IL18BP,IKBKE,MMP1,IL27,SP100,FLT3LG,MUC1,ACKR4,CEACAM1,MST1R,TRIM26,IL1RN,PTGS2"
15,GO_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,0.000148082,0.007613499,0.800597675,4.208421206,0,33,"IFIT1,OAS1,ISG15,OASL,MX1,IFITM1,PLSCR1,RSAD2,IFIT5,BST2,OAS2,EIF2AK2,OAS3,CCL8,SHFL,ISG20,IFITM3,IFI16,IFNB1,TRIM6,PARP10,IFITM2,APOBEC3G,APOBEC3F",GO_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,0.001158749,0.089541483,0.711733586,3.215400259,0,33,"IFITM1,ISG15,OASL,MX1,OAS1,RSAD2,IFIT1,ISG20,IFITM3,OAS3,BST2,CCL5,OAS2,IFNB1,PARP10,CCL8,IFITM2,PLSCR1,SHFL,APOBEC3G,ZC3H12A,IFIT5,EIF2AK2,APOBEC3F"
16,GO_RESPONSE_TO_CYTOKINE,0.0001104,0.007613499,0.433693957,4.115477079,0,321,"IFIT1,MX2,OAS1,ISG15,OASL,MX1,IFIT2,DDX58,IFIT3,IFITM1,IFI35,USP18,IFIH1,PLSCR1,CXCL10,RSAD2,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,NMI,PARP9,PNPT1,IRF7,CCL11,SHFL,IFI6,ISG20,TNFSF13B,IL1RN,IFITM3,IFI16,STAT1,SP100,TRIM22,CCL2,IFNA5,XAF1,IFNB1,IFNA1,PARP14,IFNA21,IFNA10,IFNA17,STAP1,GBP1,ZBP1,TRIM6,IFNA7,CXCL11,IFNA8,IFNL1,CD274,MMP1,PSMB9,IFNA14,IFI27,B2M,ADAR,MYD88,TREX1,GBP3,NKX3-1,SOCS1,MT2A,IFNA2,HAS2,CXCL3,TLR3,PSMB8,HSPA8,CXCL8,LGALS9,PSMA4,IL27,TNFSF18,HAX1,IFNA16,PSMA6,IFNA6,MNDA,TRIM5,ACKR4,IFITM2,TRIM25,IFNA4,CEBPD,PSME2,BOLA2B,GCH1,IFNW1,IRF9,RUFY4,ACOD1,CD80,CXCL2,TRIM38,TICAM2,UBD,PTGS2,PSMD8,IL1RAP,ELF1,VCAM1,AQP4,ACSL4,LCN2,FCGR1A,RIF1,BOLA2,PSMA2,CCR1,IL6,CD38,FCGR1B,PSMA3,FGF2,CCL25",GO_RESPONSE_TO_CYTOKINE,0.001002004,0.089541483,0.483671355,3.03649592,0,240,"IFITM1,ISG15,IFI6,ZBP1,MX2,OASL,MX1,OAS1,PSMB9,IFI27,IRF7,IFI35,MT2A,RSAD2,IFIT1,ISG20,IFIT3,IFITM3,IFNL1,ACKR1,LGALS9,CCL19,CXCL1,PSMB8,OAS3,BST2,CXCL8,TNFRSF6B,USP18,RUFY4,NLRC5,CCL5,XAF1,CXCL2,IFIT2,OAS2,IFNB1,TREX1,LCN2,AIM2,CCL8,DDX58,IFNL2,IFITM2,PML,CXCL3,IFIH1,IGHG4,LIF,IRF9,MSC,STAT1,SOCS1,PSMB10,HLA-F,TNFSF14,BIRC3,JUNB,HLA-H,BATF,PARP9,FOSL1,PARP14,PLSCR1,CSF3,TRIM21,JAK3,IRF1,SHFL,TNFSF13B,SAA1,UBD,TIMP1,GBP1,TRIM22,ZC3H12A,CCL7,PNPT1,SOCS3,FGG,PTGES,SELE,EIF2AK2,CXCL10,MYC,CCL3,IL32,RBCK1,HMOX1,CXCL11,PFKP,NMI,CSF1,HLA-G,F3,RELB,HK2,STAT2,CCL13,TNFRSF9,CX3CL1,HLA-E,GCH1,CCL2,CEBPD,FOS,ADAR,GGT5,IL15RA,NKX3-1,IFNL3,TRIM56,B2M,SAMHD1,IL22RA1,MT1X,TRIM25,EGR1,SBNO2,MMP3,MYD88,IFNE,TLR3,VCAM1,GBP4,GBP2,IL18BP,IKBKE,MMP1,PDE1B,IL27,SP100,CHI3L1,ZFP36,FLT3LG,CD38,MUC1,ACKR4,CEACAM1,PTP4A3,MST1R,TRIM26,IL1RN,PTGS2"
17,GO_IMMUNE_EFFECTOR_PROCESS,0.000112587,0.007613499,0.446614622,4.099309798,0,260,"IFIT1,MX2,OAS1,ISG15,OASL,MX1,IFIT2,DDX58,IFI44L,IFIT3,HERC5,IFITM1,IFIH1,PLSCR1,CXCL10,RSAD2,IFIT5,BST2,OAS2,EIF2AK2,OAS3,NT5C3A,RTP4,PARP9,IRF7,DTX3L,SHFL,IFI6,ISG20,C1R,DDX60,IFITM3,IFI16,STAT1,TNFAIP6,PMAIP1,C1S,TRIM22,CFB,MDK,IFNA5,DYNLT1,IFNB1,IFNA1,IFNA21,DYNLL1,DHX58,IFNA10,IFNA17,GBP1,TRIM6,IFNA7,IFNA8,IFNL1,IFNA14,IFI27,B2M,ADAR,TREX1,GBP3,IFNA2,ORM2,TLR3,HSPA8,LGALS9,IL27,TNFSF18,IFNA16,IFNA6,MNDA,TRIM5,IFITM2,TRIM25,SCAMP1,IFNA4,APOBEC3G,IFNW1,APOBEC3F,IRF9,CD80,NR4A3,TRIM38,TICAM2,CFH,CGAS,LCN2,FCGR1A,RIF1,PSMA2,ORM1,PLAC8,IL6,HPRT1,NME2,FFAR2,SHLD3,AIM2,S100A9,APOBEC3B,FCGR3B,POLR3K,CFI,RNASE2,NBN,BIRC3,CD63,GCA,IFNL2,RETN,PSMD12,HPSE,DENND1B,UNC93B1,PML,CEACAM1,FFAR3,LAMTOR2",GO_IMMUNE_EFFECTOR_PROCESS,0.001003009,0.089541483,0.499474232,3.070560056,0,183,"IFITM1,ISG15,IFI6,IFI44L,MX2,OASL,MX1,OAS1,IFI27,IRF7,RSAD2,IFIT1,ISG20,RTP4,IFIT3,CD177,PLA2G3,IFITM3,IFNL1,LGALS9,C4B,CCL19,CXCL1,OAS3,C1R,BST2,CFB,NLRC5,C4A,IFIT2,OAS2,IFNB1,TREX1,LCN2,AIM2,DDX58,IFNL2,HERC5,IFITM2,PML,IFIH1,IGHG4,IRF9,STAT1,HLA-F,BIRC3,HLA-H,DTX3L,BATF,PARP9,DHX58,PLSCR1,DDX60,JAK3,IRF1,SHFL,SERPINA3,APOBEC3G,LRG1,BCL3,S100P,UNC93B1,LAG3,GBP1,NT5C3A,TRIM22,ZC3H12A,ORM1,IFIT5,SLAMF7,SPINK5,EIF2AK2,CXCL10,CCL3,APOBEC3F,HMOX1,PRSS2,HLA-G,MVP,PMAIP1,RELB,STAT2,HLA-E,MYO1G,ADAR,BTN3A2,NR4A3,GSDMD,IFNL3,TRIM56,B2M,SAMHD1,APOBEC3A,TRIM25,HP,SBNO2,C1S,CR1L,IFNE,TLR3,HSPA6,APOBEC3D,MICB"
18,GO_REGULATION_OF_MULTI_ORGANISM_PROCESS,0.00011711,0.007613499,0.471007512,4.088829001,0,193,"IFIT1,OAS1,ISG15,OASL,MX1,DDX58,HERC5,IFITM1,USP18,IFIH1,PLSCR1,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,NMI,PARP9,IRF7,DTX3L,SHFL,ISG20,DDX60,IFITM3,IFI16,STAT1,TRIM14,DYNLT1,IFNB1,PARP14,DHX58,ZBP1,TRIM6,PSMB9,IFI27,ADAR,PPIB,MYD88,TREX1,POLR2K,FMR1,SOCS1,CHMP2B,IFNA2,TLR3,PSMB8,CXCL8,LGALS9,PARP10,PSMA4,IL27,UBE2D1,SUPT4H1,PSMA6,IGF1,MNDA,LY96,TRIM5,IFITM2,TRIM25,APOBEC3G,PSME2,APOBEC3F,ACOD1,TRIM38,TICAM2",GO_REGULATION_OF_MULTI_ORGANISM_PROCESS,0.001014199,0.089541483,0.495297264,2.951042379,0,140,"IFITM1,ISG15,ZBP1,OASL,MX1,OAS1,PSMB9,IFI27,IRF7,RSAD2,IFIT1,ISG20,IFITM3,LGALS9,PSMB8,OAS3,BST2,CXCL8,USP18,NLRC5,CCL5,FGA,OAS2,IFNB1,TREX1,AIM2,PARP10,TRIM14,CCL8,DDX58,HERC5,IFITM2,PML,IFIH1,STAT1,SOCS1,PSMB10,HLA-F,BIRC3,DTX3L,PARP9,MUC4,PARP14,DHX58,PLSCR1,TRIM21,DDX60,IRF1,SHFL,APOBEC3G,TIMP1,UNC93B1,LAG3,ZC3H12A,SOCS3,FGG,IFIT5,SPINK5,EIF2AK2,CCL3,APOBEC3F"
19,GO_DEFENSE_RESPONSE,0.000108003,0.007613499,0.411395726,4.02061531,0,394,"IFIT1,MX2,OAS1,ISG15,OASL,MX1,IFIT2,DDX58,IFI44L,IFIT3,HERC5,IFITM1,IFI35,USP18,IFIH1,PLSCR1,CXCL10,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,NMI,NT5C3A,RTP4,PARP9,IRF7,CCL11,DTX3L,SHFL,IFI6,ISG20,PTN,BATF2,C1R,DDX60,IL1RN,IFITM3,IFI16,NAMPT,STAT1,TNFAIP6,SP100,PMAIP1,C1S,TRIM14,TRIM22,CCL2,CFB,MDK,IFNA5,XAF1,IFNB1,IFNA1,PARP14,IFNA21,DHX58,IFNA10,IFNA17,STAP1,ACE2,GBP1,ZBP1,TRIM6,IFNA7,CXCL11,IFNA8,IFNL1,PSMB9,IFNA14,IFI27,SPP1,B2M,ADAR,MYD88,TREX1,GBP3,SOCS1,MT2A,IFNA2,ORM2,CXCL3,TLR3,PSMB8,CXCL8,LGALS9,PSMA4,IL27,IFNA16,UBE2D1,DEFB1,PSMA6,IFNA6,IGF1,LGALS3BP,MNDA,LY96,TRIM5,IFITM2,TRIM25,IFNA4,APOBEC3G,PSME2,GCH1,IFNW1,APOBEC3F,IRF9,NR1D2,ACOD1,CXCL2,TRIM38,TICAM2,UBD,PTGS2,SELENOS,PSMD8,IL1RAP,VCAM1,AQP4,WDFY1,CFH,CGAS,LCN2,FCGR1A,RICTOR,PSMA2,ORM1,CCR1,PLAC8,IL6,FCGR1B,PSMA3,CCL25,FFAR2,AIM2,S100A9,APOBEC3B,CXCL5,OSM,TMIGD3,LYPD1,POLR3K,CFI,RNASE2,FPR3,NUB1,TRIM31,RAB11FIP2,KLK3,BIRC3,IFNL2,PSMD12,LILRA5,IL6ST,THEMIS2,UNC93B1,APOL2,PML,CEACAM1,JAK2",GO_DEFENSE_RESPONSE,0.000999001,0.089541483,0.474903208,3.025494392,0,307,"IFITM1,ISG15,IFI6,IFI44L,ZBP1,MX2,OASL,MX1,OAS1,PSMB9,IFI27,IRF7,IFI35,MT2A,RSAD2,IFIT1,ISG20,RTP4,IFIT3,CD177,IFITM3,IFNL1,ACKR1,LGALS9,C4B,CCL19,CXCL1,BATF2,PSMB8,OAS3,C1R,BST2,CXCL8,CFB,USP18,TAP1,NLRC5,CCL5,FGA,C4A,XAF1,CXCL2,IFIT2,OAS2,IFNB1,TREX1,LCN2,AIM2,TRIM14,CCL8,DDX58,IFNL2,HERC5,IFITM2,PML,CXCL3,APOL1,IFIH1,IGHG4,C2CD4A,IRF9,STAT1,LGALS3BP,SOCS1,PSMB10,HLA-F,BIRC3,HLA-H,DTX3L,BATF,PARP9,MUC4,FOSL1,PARP14,DHX58,PLSCR1,TRIM21,DDX60,JAK3,IRF1,SHFL,SAA1,SERPINA3,ELF3,APOBEC3G,UBD,BCL3,TIMP1,UNC93B1,LAG3,GBP1,NT5C3A,TRIM22,ZC3H12A,ORM1,CCL7,SAA2,SOCS3,FGG,IFIT5,SLAMF7,PTGES,SPINK5,SELE,ARID5A,IDO1,EIF2AK2,CXCL10,CXCL17,CCL3,IL32,APOBEC3F,HMOX1,CXCL11,NMI,CSF1,HLA-G,SERPINF2,F3,PMAIP1,RELB,STAT2,CCL13,CX3CL1,HLA-E,GCH1,CD48,CCL2,FOS,APOL2,ADAR,ACE2,GSDMD,GGT5,IFNL3,TRIM56,B2M,SAMHD1,APOBEC3A,IL22RA1,SFTPA2,TRIM25,EGR1,HP,SBNO2,C1S,DEFB4A,MMP3,MYD88,IFNE,TLR3,VCAM1,GBP4,TNIP3,GBP2,APOBEC3D,MICB,NAMPT,AGTR2,IKBKE"
20,GO_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,0.000115527,0.007613499,0.438586932,3.878055917,0,211,"IFIT1,OAS1,ISG15,OASL,MX1,DDX58,CLDN6,IFITM1,IFIH1,PLSCR1,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,IRF7,SHFL,ISG20,CHMP5,IFITM3,IFI16,STAT1,SP110,SP100,TRIM14,TRIM22,CCL2,DYNLT1,IFNB1,DYNLL1,DHX58,ACE2,TRIM6,MMP1,PSMB9,IFI27,B2M,ADAR,PPIB,POLR2K,FMR1,CHMP2B,IFNA2,PSMB8,HSPA8,CXCL8,LGALS9,PARP10,PSMA4,SUPT4H1,ELOC,MCTS1,AZI2,TRIM5,IFITM2,TRIM25,APOBEC3G,TRAM1,KPNA5,APOBEC3F,CD80,TRIM38,TAP2,CFH,CGAS,RICTOR,RPL35,TNPO1,SSB,VPS29,ACY3,GTF2A2,GADD45GIP1,HTR2A,RPS27,PSMA3,XRCC4,RPS26",GO_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,0.001017294,0.089541483,0.483504401,2.810575784,0,109,"IFITM1,ISG15,OASL,MX1,OAS1,PSMB9,IFI27,IRF7,RSAD2,IFIT1,ISG20,IFITM3,LGALS9,PSMB8,OAS3,BST2,CXCL8,TAP1,CCL5,OAS2,IFNB1,PARP10,TRIM14,CCL8,DDX58,TAP2,IFITM2,PML,APOL1,IFIH1,STAT1,PSMB10,SP110,DHX58,PLSCR1,TRIM21,SHFL,APOBEC3G,TRIM22,ZC3H12A,IFIT5,EIF2AK2,CCL3,APOBEC3F,RBCK1,STAT2,CCL13,CCL2,ACY3,ADAR,ACE2,GSDMD,IFNL3,B2M,APOBEC3A,TRIM25,DEFB4A,APOBEC3D,MICB,IKBKE,MMP1,SP100,ZFP36,DMBT1"
21,GO_RESPONSE_TO_INTERFERON_GAMMA,0.000132556,0.007613499,0.553188295,3.832439514,0,77,"OAS1,OASL,IFITM1,TRIM21,BST2,OAS2,OAS3,CCL8,NMI,PARP9,IRF7,CCL11,SHFL,IFITM3,STAT1,SP100,TRIM22,CCL2,PARP14,GBP1,B2M,GBP3,SOCS1,MT2A,TLR3,LGALS9,TRIM5,IFITM2,TRIM25,GCH1,IRF9,ACOD1,TRIM38,UBD,VCAM1,AQP4,FCGR1A",GO_RESPONSE_TO_INTERFERON_GAMMA,0.001054852,0.089541483,0.542498898,2.910014077,0,69,"IFITM1,OASL,OAS1,IRF7,MT2A,IFITM3,LGALS9,CCL19,OAS3,BST2,NLRC5,CCL5,OAS2,CCL8,IFITM2,PML,IRF9,STAT1,SOCS1,HLA-F,HLA-H,PARP9,PARP14,TRIM21,IRF1,SHFL,UBD,GBP1,TRIM22,CCL7,SOCS3,CCL3,NMI,HLA-G,CCL13,CX3CL1,HLA-E,GCH1,CCL2,B2M,TRIM25,TLR3,VCAM1,GBP4,GBP2"
22,GO_RESPONSE_TO_DSRNA,0.000151607,0.007613499,0.75694684,3.717592786,0,27,"IFIT1,DDX58,IFIH1,PMAIP1,IFNA5,IFNB1,IFNA1,IFNA21,IFNA10,IFNA17,IFNA7,IFNA8,IFNA14,IFNA2,TLR3,IFNA16,IFNA6,IFNA4,IFNW1,CGAS",GO_RESPONSE_TO_DSRNA,0.04359673,0.388905191,0.476231634,1.546276903,31,12,"IFIT1,IFNB1,DDX58,IFIH1,PMAIP1,IFNE,TLR3"
23,GO_TYPE_I_INTERFERON_PRODUCTION,0.0001468,0.007613499,0.669494947,3.599961086,0,35,"ISG15,DDX58,HERC5,IFIH1,TRIM21,NMI,IRF7,UBE2L6,IFI16,STAT1,DHX58,ZBP1,MYD88,TREX1,POLR2K,TLR3,AZI2,TRIM25,ACOD1,TRIM38,CGAS",GO_TYPE_I_INTERFERON_PRODUCTION,0.001165501,0.089541483,0.532576566,2.357621511,0,31,"ISG15,ZBP1,IRF7,UBE2L6,NLRC5,TREX1,DDX58,HERC5,IFIH1,STAT1,DHX58,TRIM21,IRF1,NMI,RELB,TRIM56,TRIM25,MYD88,TLR3,IKBKE"
24,GO_RESPONSE_TO_INTERFERON_BETA,0.00015674,0.007613499,0.806804666,3.549865999,0,20,"IFITM1,PLSCR1,BST2,PNPT1,SHFL,IFITM3,IFI16,STAT1,XAF1,IFNB1,TRIM6,TREX1,TLR3,MNDA,IFITM2,ACOD1",GO_RESPONSE_TO_INTERFERON_BETA,0.001272265,0.089541483,0.717724268,2.716851376,0,18,"IFITM1,IFITM3,BST2,XAF1,IFNB1,TREX1,AIM2,IFITM2,STAT1,PLSCR1,IRF1,SHFL,PNPT1"
25,GO_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION_OF_STAT_PROTEIN,0.000159312,0.007613499,0.850937041,3.519320931,0,17,"IFNA5,IFNB1,IFNA1,RET,IFNA21,IFNA10,IFNA17,IFNA7,IFNA8,IFNA14,IFNA2,IFNA16,IFNA6,IFNA4,IFNW1",GO_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION_OF_STAT_PROTEIN,0.026359143,0.320460564,0.734652115,1.611469776,15,4,"IFNB1,LIF,RET,IFNE"
26,GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY,0.000144739,0.007613499,0.63567124,3.514900107,0,38,"OAS1,OASL,TRIM21,OAS2,OAS3,NMI,PARP9,IRF7,STAT1,SP100,TRIM22,PARP14,GBP1,B2M,SOCS1,MT2A,TRIM5,TRIM25,IRF9,TRIM38,VCAM1,FCGR1A,FCGR1B",GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY,0.001145475,0.089541483,0.607896199,2.7970206,0,35,"OASL,OAS1,IRF7,MT2A,OAS3,NLRC5,OAS2,PML,IRF9,STAT1,SOCS1,HLA-F,HLA-H,PARP9,PARP14,TRIM21,IRF1,GBP1,TRIM22,SOCS3,NMI,HLA-G,HLA-E,B2M,TRIM25,VCAM1,GBP2"
27,GO_CYTOKINE_ACTIVITY,0.000134174,0.007613499,0.520020775,3.510395844,0,71,"CXCL10,CCL8,CCL11,TNFSF13B,IL1RN,NAMPT,GREM1,CCL2,IFNA5,IFNB1,IFNA1,IFNA21,IFNA10,IFNA17,IFNA7,CXCL11,IFNA8,IFNL1,IFNA14,SPP1,SECTM1,IFNA2,CXCL3,CXCL8,IL27,TNFSF18,IFNA16,IFNA6,IFNA4,IFNW1,CXCL2,IL6,FAM3C,FGF2,CCL25,CXCL5,OSM",GO_CYTOKINE_ACTIVITY,0.001094092,0.089541483,0.450096976,2.260215197,0,50,"IFNL1,SECTM1,CCL19,CXCL1,CXCL8,CCL5,CXCL2,IFNB1,CCL8,IFNL2,CXCL3,LIF,TNFSF14,CSF3,TNFSF13B,TIMP1,CCL7,CXCL10,CCL3,IL32,CXCL11,CSF1,CCL13,CX3CL1,CCL2"
