pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
GO_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	1.42E-05	0.001112895	0.741075504	4.408363222	0	47	"IFIT1,OAS1,ISG15,OASL,MX1,IFITM1,PLSCR1,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,SHFL,ISG20,IFITM3,IFI16,STAT1,TRIM14,IFNB1,TRIM6,IFNA2,PARP10,TRIM5,IFITM2,TRIM25,APOBEC3G,APOBEC3F"
GO_VIRAL_GENOME_REPLICATION	1.41E-05	0.001112895	0.719752795	4.373075809	0	50	"IFIT1,OAS1,ISG15,OASL,MX1,IFITM1,PLSCR1,RSAD2,IFIT5,BST2,OAS2,EIF2AK2,OAS3,CCL8,SHFL,ISG20,IFITM3,IFI16,CCL2,IFNB1,TRIM6,IFI27,ADAR,PPIB,FMR1,CXCL8,PARP10,IFITM2,APOBEC3G,APOBEC3F,TRIM38"
GO_NEGATIVE_REGULATION_OF_VIRAL_LIFE_CYCLE	1.45E-05	0.001112895	0.757220524	4.334257092	0	42	"IFIT1,OAS1,ISG15,OASL,MX1,IFITM1,PLSCR1,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,SHFL,ISG20,IFITM3,IFI16,IFNB1,TRIM6,IFNA2,PARP10,TRIM5,IFITM2,TRIM25,APOBEC3G,APOBEC3F"
GO_RESPONSE_TO_BIOTIC_STIMULUS	1.08E-05	0.001112895	0.444448425	4.31404572	0	376	"IFIT1,MX2,HERC6,OAS1,ISG15,OASL,MX1,IFIT2,CMPK2,DDX58,IFI44L,IFI44,IFIT3,HERC5,IFITM1,IFI35,USP18,IFIH1,PLSCR1,CXCL10,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,NMI,NT5C3A,RTP4,PARP9,IRF7,CCL11,DTX3L,SHFL,IFI6,ISG20,BATF2,CHMP5,C1R,DDX60,IL1RN,IFITM3,IFI16,STAT1,SP100,PMAIP1,C1S,TRIM14,TRIM22,CCL2,CFB,IFNA5,XAF1,IFNB1,IFNA1,PARP14,IFNA21,DHX58,IFNA10,TENT5A,IFNA17,STAP1,GBP1,ZBP1,TRIM6,IFNA7,CXCL11,IFNA8,IFNL1,CD274,PSMB9,IFNA14,IFI27,B2M,ADAR,MYD88,TREX1,GBP3,FMR1,RGS1,SOCS1,MT2A,IFNA2,CXCL3,TLR3,PSMB8,MT1M,CXCL8,LGALS9,PSMA4,IL27,IFNA16,UBE2D1,DEFB1,PSMA6,IFNA6,MNDA,LY96,TRIM5,IFITM2,TRIM25,VIL1,IFNA4,APOBEC3G,PSME2,GCH1,IFNW1,C15orf48,APOBEC3F,IRF9,ACOD1,CD80,CXCL2,TRIM38,TICAM2,CNP,BATF3,UBD,PTGS2,SELENOS,PSMD8,IL1RAP,VCAM1,AQP4,WDFY1,CFH,SLC10A2,CGAS,LCN2,FCGR1A"
GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	1.14E-05	0.001112895	0.473456395	4.273219805	0	236	"IFIT1,MX2,OAS1,ISG15,OASL,MX1,IFIT2,IFIT3,IFITM1,IFI35,USP18,CXCL10,RSAD2,TRIM21,BST2,OAS2,OAS3,CCL8,NMI,PARP9,IRF7,CCL11,IFI6,ISG20,TNFSF13B,IL1RN,IFITM3,STAT1,SP100,TRIM22,CCL2,IFNA5,XAF1,IFNB1,IFNA1,PARP14,IFNA21,IFNA10,IFNA17,STAP1,GBP1,ZBP1,TRIM6,IFNA7,CXCL11,IFNA8,IFNL1,MMP1,PSMB9,IFNA14,IFI27,B2M,ADAR,MYD88,TREX1,SOCS1,MT2A,IFNA2,CXCL3,PSMB8,HSPA8,CXCL8,PSMA4,IL27,TNFSF18,IFNA16,PSMA6,IFNA6,TRIM5,ACKR4,IFITM2,TRIM25,IFNA4,CEBPD,PSME2,BOLA2B,IFNW1,IRF9,CD80,CXCL2,TRIM38,TICAM2,PTGS2,PSMD8,IL1RAP,ELF1,VCAM1,LCN2,FCGR1A,BOLA2,PSMA2,CCR1,IL6,FCGR1B,PSMA3,FGF2,CCL25"
GO_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	1.49E-05	0.001112895	0.800597675	4.2261671	0	33	"IFIT1,OAS1,ISG15,OASL,MX1,IFITM1,PLSCR1,RSAD2,IFIT5,BST2,OAS2,EIF2AK2,OAS3,CCL8,SHFL,ISG20,IFITM3,IFI16,IFNB1,TRIM6,PARP10,IFITM2,APOBEC3G,APOBEC3F"
GO_RESPONSE_TO_CYTOKINE	1.10E-05	0.001112895	0.433693957	4.116989574	0	321	"IFIT1,MX2,OAS1,ISG15,OASL,MX1,IFIT2,DDX58,IFIT3,IFITM1,IFI35,USP18,IFIH1,PLSCR1,CXCL10,RSAD2,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,NMI,PARP9,PNPT1,IRF7,CCL11,SHFL,IFI6,ISG20,TNFSF13B,IL1RN,IFITM3,IFI16,STAT1,SP100,TRIM22,CCL2,IFNA5,XAF1,IFNB1,IFNA1,PARP14,IFNA21,IFNA10,IFNA17,STAP1,GBP1,ZBP1,TRIM6,IFNA7,CXCL11,IFNA8,IFNL1,CD274,MMP1,PSMB9,IFNA14,IFI27,B2M,ADAR,MYD88,TREX1,GBP3,NKX3-1,SOCS1,MT2A,IFNA2,HAS2,CXCL3,TLR3,PSMB8,HSPA8,CXCL8,LGALS9,PSMA4,IL27,TNFSF18,HAX1,IFNA16,PSMA6,IFNA6,MNDA,TRIM5,ACKR4,IFITM2,TRIM25,IFNA4,CEBPD,PSME2,BOLA2B,GCH1,IFNW1,IRF9,RUFY4,ACOD1,CD80,CXCL2,TRIM38,TICAM2,UBD,PTGS2,PSMD8,IL1RAP,ELF1,VCAM1,AQP4,ACSL4,LCN2,FCGR1A,RIF1,BOLA2,PSMA2,CCR1,IL6,CD38,FCGR1B,PSMA3,FGF2,CCL25"
GO_IMMUNE_EFFECTOR_PROCESS	1.12E-05	0.001112895	0.446614622	4.097995648	0	260	"IFIT1,MX2,OAS1,ISG15,OASL,MX1,IFIT2,DDX58,IFI44L,IFIT3,HERC5,IFITM1,IFIH1,PLSCR1,CXCL10,RSAD2,IFIT5,BST2,OAS2,EIF2AK2,OAS3,NT5C3A,RTP4,PARP9,IRF7,DTX3L,SHFL,IFI6,ISG20,C1R,DDX60,IFITM3,IFI16,STAT1,TNFAIP6,PMAIP1,C1S,TRIM22,CFB,MDK,IFNA5,DYNLT1,IFNB1,IFNA1,IFNA21,DYNLL1,DHX58,IFNA10,IFNA17,GBP1,TRIM6,IFNA7,IFNA8,IFNL1,IFNA14,IFI27,B2M,ADAR,TREX1,GBP3,IFNA2,ORM2,TLR3,HSPA8,LGALS9,IL27,TNFSF18,IFNA16,IFNA6,MNDA,TRIM5,IFITM2,TRIM25,SCAMP1,IFNA4,APOBEC3G,IFNW1,APOBEC3F,IRF9,CD80,NR4A3,TRIM38,TICAM2,CFH,CGAS,LCN2,FCGR1A,RIF1,PSMA2,ORM1,PLAC8,IL6,HPRT1,NME2,FFAR2,SHLD3,AIM2,S100A9,APOBEC3B,FCGR3B,POLR3K,CFI,RNASE2,NBN,BIRC3,CD63,GCA,IFNL2,RETN,PSMD12,HPSE,DENND1B,UNC93B1,PML,CEACAM1,FFAR3,LAMTOR2"
GO_REGULATION_OF_MULTI_ORGANISM_PROCESS	1.17E-05	0.001112895	0.471007512	4.088992431	0	193	"IFIT1,OAS1,ISG15,OASL,MX1,DDX58,HERC5,IFITM1,USP18,IFIH1,PLSCR1,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,NMI,PARP9,IRF7,DTX3L,SHFL,ISG20,DDX60,IFITM3,IFI16,STAT1,TRIM14,DYNLT1,IFNB1,PARP14,DHX58,ZBP1,TRIM6,PSMB9,IFI27,ADAR,PPIB,MYD88,TREX1,POLR2K,FMR1,SOCS1,CHMP2B,IFNA2,TLR3,PSMB8,CXCL8,LGALS9,PARP10,PSMA4,IL27,UBE2D1,SUPT4H1,PSMA6,IGF1,MNDA,LY96,TRIM5,IFITM2,TRIM25,APOBEC3G,PSME2,APOBEC3F,ACOD1,TRIM38,TICAM2"
GO_DEFENSE_RESPONSE	1.08E-05	0.001112895	0.411395726	4.019195224	0	394	"IFIT1,MX2,OAS1,ISG15,OASL,MX1,IFIT2,DDX58,IFI44L,IFIT3,HERC5,IFITM1,IFI35,USP18,IFIH1,PLSCR1,CXCL10,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,NMI,NT5C3A,RTP4,PARP9,IRF7,CCL11,DTX3L,SHFL,IFI6,ISG20,PTN,BATF2,C1R,DDX60,IL1RN,IFITM3,IFI16,NAMPT,STAT1,TNFAIP6,SP100,PMAIP1,C1S,TRIM14,TRIM22,CCL2,CFB,MDK,IFNA5,XAF1,IFNB1,IFNA1,PARP14,IFNA21,DHX58,IFNA10,IFNA17,STAP1,ACE2,GBP1,ZBP1,TRIM6,IFNA7,CXCL11,IFNA8,IFNL1,PSMB9,IFNA14,IFI27,SPP1,B2M,ADAR,MYD88,TREX1,GBP3,SOCS1,MT2A,IFNA2,ORM2,CXCL3,TLR3,PSMB8,CXCL8,LGALS9,PSMA4,IL27,IFNA16,UBE2D1,DEFB1,PSMA6,IFNA6,IGF1,LGALS3BP,MNDA,LY96,TRIM5,IFITM2,TRIM25,IFNA4,APOBEC3G,PSME2,GCH1,IFNW1,APOBEC3F,IRF9,NR1D2,ACOD1,CXCL2,TRIM38,TICAM2,UBD,PTGS2,SELENOS,PSMD8,IL1RAP,VCAM1,AQP4,WDFY1,CFH,CGAS,LCN2,FCGR1A,RICTOR,PSMA2,ORM1,CCR1,PLAC8,IL6,FCGR1B,PSMA3,CCL25,FFAR2,AIM2,S100A9,APOBEC3B,CXCL5,OSM,TMIGD3,LYPD1,POLR3K,CFI,RNASE2,FPR3,NUB1,TRIM31,RAB11FIP2,KLK3,BIRC3,IFNL2,PSMD12,LILRA5,IL6ST,THEMIS2,UNC93B1,APOL2,PML,CEACAM1,JAK2"
GO_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	1.15E-05	0.001112895	0.438586932	3.874221954	0	211	"IFIT1,OAS1,ISG15,OASL,MX1,DDX58,CLDN6,IFITM1,IFIH1,PLSCR1,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,IRF7,SHFL,ISG20,CHMP5,IFITM3,IFI16,STAT1,SP110,SP100,TRIM14,TRIM22,CCL2,DYNLT1,IFNB1,DYNLL1,DHX58,ACE2,TRIM6,MMP1,PSMB9,IFI27,B2M,ADAR,PPIB,POLR2K,FMR1,CHMP2B,IFNA2,PSMB8,HSPA8,CXCL8,LGALS9,PARP10,PSMA4,SUPT4H1,ELOC,MCTS1,AZI2,TRIM5,IFITM2,TRIM25,APOBEC3G,TRAM1,KPNA5,APOBEC3F,CD80,TRIM38,TAP2,CFH,CGAS,RICTOR,RPL35,TNPO1,SSB,VPS29,ACY3,GTF2A2,GADD45GIP1,HTR2A,RPS27,PSMA3,XRCC4,RPS26"
GO_RESPONSE_TO_INTERFERON_GAMMA	1.33E-05	0.001112895	0.553188295	3.830332565	0	77	"OAS1,OASL,IFITM1,TRIM21,BST2,OAS2,OAS3,CCL8,NMI,PARP9,IRF7,CCL11,SHFL,IFITM3,STAT1,SP100,TRIM22,CCL2,PARP14,GBP1,B2M,GBP3,SOCS1,MT2A,TLR3,LGALS9,TRIM5,IFITM2,TRIM25,GCH1,IRF9,ACOD1,TRIM38,UBD,VCAM1,AQP4,FCGR1A"
GO_RESPONSE_TO_DSRNA	1.52E-05	0.001112895	0.75694684	3.71941293	0	27	"IFIT1,DDX58,IFIH1,PMAIP1,IFNA5,IFNB1,IFNA1,IFNA21,IFNA10,IFNA17,IFNA7,IFNA8,IFNA14,IFNA2,TLR3,IFNA16,IFNA6,IFNA4,IFNW1,CGAS"
GO_TYPE_I_INTERFERON_PRODUCTION	1.48E-05	0.001112895	0.669494947	3.607501457	0	35	"ISG15,DDX58,HERC5,IFIH1,TRIM21,NMI,IRF7,UBE2L6,IFI16,STAT1,DHX58,ZBP1,MYD88,TREX1,POLR2K,TLR3,AZI2,TRIM25,ACOD1,TRIM38,CGAS"
GO_MITOCHONDRIAL_PROTEIN_COMPLEX	1.31E-05	0.001112895	0.4980681	3.55760304	0	86	"PNPT1,NDUFC2-KCTD14,MRPS18A,MRPS18C,MRPL22,MRPL17,TIMM10,TOMM5,ATP5MF,MRPL32,SDHB,NDUFB3,C15orf48,ATP5F1C,NDUFA12,TIMM23,ATP5MD,MRPL36,ATP5PF,MRPL18,NDUFA7,UQCR10,SUCLG2,NDUFB4,MRPL42,MRPS30,NDUFA6,MRPS22,MRPL13,NDUFV2,TOMM22,DNAJC19,MRPL58,COX4I2,MRPL47,COX6A1,MRPL46,NDUFA5,NDUFS6,ATP5F1E,NDUFB9,TIMM8B,ATP5MPL,NDUFS4,NDUFA9,MCUB,MRPL27,MRPL2,NDUFB10,MRPL19,NDUFA8,MRPS28,MRPS36,NDUFB1,NDUFS5,MICU2,NDUFB8,MRPS35,COX4I1,TRMT10C,DNAJC15,DLAT,MRPL33,MRPL3,MALSU1,NDUFB7,MRPL54,MRPL24,ATP5PD,NDUFA3,NDUFA1,NDUFA13"
GO_RESPONSE_TO_INTERFERON_BETA	1.58E-05	0.001112895	0.806804666	3.53966657	0	20	"IFITM1,PLSCR1,BST2,PNPT1,SHFL,IFITM3,IFI16,STAT1,XAF1,IFNB1,TRIM6,TREX1,TLR3,MNDA,IFITM2,ACOD1"
GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	1.46E-05	0.001112895	0.63567124	3.521879383	0	38	"OAS1,OASL,TRIM21,OAS2,OAS3,NMI,PARP9,IRF7,STAT1,SP100,TRIM22,PARP14,GBP1,B2M,SOCS1,MT2A,TRIM5,TRIM25,IRF9,TRIM38,VCAM1,FCGR1A,FCGR1B"
GO_CYTOKINE_ACTIVITY	1.34E-05	0.001112895	0.520020775	3.520269856	0	71	"CXCL10,CCL8,CCL11,TNFSF13B,IL1RN,NAMPT,GREM1,CCL2,IFNA5,IFNB1,IFNA1,IFNA21,IFNA10,IFNA17,IFNA7,CXCL11,IFNA8,IFNL1,IFNA14,SPP1,SECTM1,IFNA2,CXCL3,CXCL8,IL27,TNFSF18,IFNA16,IFNA6,IFNA4,IFNW1,CXCL2,IL6,FAM3C,FGF2,CCL25,CXCL5,OSM"
GO_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION_OF_STAT_PROTEIN	1.60E-05	0.001112895	0.850937041	3.51069984	0	17	"IFNA5,IFNB1,IFNA1,RET,IFNA21,IFNA10,IFNA17,IFNA7,IFNA8,IFNA14,IFNA2,IFNA16,IFNA6,IFNA4,IFNW1"
GO_SERINE_PHOSPHORYLATION_OF_STAT_PROTEIN	1.60E-05	0.001112895	0.850937041	3.51069984	0	17	"IFNA5,IFNB1,IFNA1,RET,IFNA21,IFNA10,IFNA17,IFNA7,IFNA8,IFNA14,IFNA2,IFNA16,IFNA6,IFNA4,IFNW1"
GO_NATURAL_KILLER_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	1.63E-05	0.001112895	0.877330274	3.444433302	0	15	"IFNA5,IFNB1,IFNA1,IFNA21,IFNA10,IFNA17,IFNA7,IFNA8,IFNA14,IFNA2,IFNA16,IFNA6,IFNA4,IFNW1"
GO_TYPE_I_INTERFERON_RECEPTOR_BINDING	1.63E-05	0.001112895	0.877330274	3.444433302	0	15	"IFNA5,IFNB1,IFNA1,IFNA21,IFNA10,IFNA17,IFNA7,IFNA8,IFNA14,IFNA2,IFNA16,IFNA6,IFNA4,IFNW1"
GO_LEUKOCYTE_PROLIFERATION	1.37E-05	0.001112895	0.52357166	3.382534308	0	61	"BST2,TNFSF13B,GREM1,IFNA5,IFNB1,IFNA1,IFNA21,IFNA10,IFNA17,IFNA7,IFNA8,CD274,IFNA14,IFNA2,LGALS9,IL27,TNFSF18,IFNA16,IFNA6,IGF1,FKBP1B,AZI2,MNDA,IFNA4,IFNW1,CD80,VCAM1,SOX11,IL6,AHR,CD38,HPRT1"
GO_CYTOKINE_PRODUCTION	1.20E-05	0.001112895	0.404995329	3.359270871	0	156	"ISG15,DDX58,HERC5,IFIH1,RSAD2,TRIM21,BST2,EIF2AK2,NMI,IRF7,UBE2L6,DDX60,IL1RN,IFI16,STAT1,MDK,IFNB1,DHX58,ACE2,GBP1,ZBP1,TRIM6,IFNL1,CD274,B2M,MYD88,TREX1,POLR2K,SOCS1,IFNA2,ORM2,TLR3,LGALS9,IL27,IGF1,AZI2,MNDA,LY96,TRIM25,ACOD1,CD80,NR4A3,TRIM38,PTGS2,SELENOS,IL1RAP,ELF1,CGAS,CD2AP,ORM1,IL6,SRGN,FFAR2,AIM2,S100A9,OSM,POLR3K,BIRC3,PDE4D,CYP1B1,TWSG1,LILRA5,IL6ST,HPSE,DENND1B,PML,CEACAM1,JAK2,FFAR3"
GO_B_CELL_PROLIFERATION	1.54E-05	0.001112895	0.712230068	3.350457291	0	24	"TNFSF13B,IFNA5,IFNB1,IFNA1,IFNA21,IFNA10,IFNA17,IFNA7,IFNA8,IFNA14,IFNA2,IFNA16,IFNA6,MNDA,IFNA4,IFNW1,AHR,CD38"
GO_DOUBLE_STRANDED_RNA_BINDING	1.59E-05	0.001112895	0.773826192	3.32841759	0	19	"OAS1,OASL,DDX58,IFIH1,OAS2,EIF2AK2,OAS3,DDX60,DHX58,ADAR,FMR1,TLR3"
GO_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	1.48E-05	0.001112895	0.616381309	3.287407017	0	34	"MDK,IFNA5,IFNB1,IFNA1,IFNA21,IFNA10,IFNA17,IFNA7,IFNA8,IFNL1,IFNA14,IFNA2,LGALS9,IL27,TNFSF18,IFNA16,IFNA6,IFNA4,IFNW1,CD80"
GO_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT	1.41E-05	0.001112895	0.538287462	3.270528291	0	50	"NMI,PARP9,STAT1,CCL2,IFNA5,IFNB1,IFNA1,RET,PARP14,IFNA21,IFNA10,IFNA17,IFNA7,IFNA8,IFNL1,IFNA14,SOCS1,IFNA2,TNFSF18,IFNA16,IFNA6,IGF1,IFNA4,IFNW1,IL6,OSM,CYP1B1,IFNL2,IL6ST,JAK2"
