SYMBOL	ENSEMBL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GSTA2	ENSG00000244067	500.3482315	-3.226451434	0.629761196	-5.123293489	3.00E-07	2.03E-05
LOC101928009	ENSG00000229699	8.554720086	-3.217059032	1.031326171	-3.119341991	0.001812554	0.024280976
FAM71E2	ENSG00000180043	61.56438633	-3.204978093	0.533814434	-6.003918007	1.93E-09	3.67E-07
NA	ENSG00000258601	25.23506545	-3.201063539	0.622468992	-5.142526908	2.71E-07	1.85E-05
FAM181B	ENSG00000182103	135.7902358	-3.196300711	0.548458293	-5.82779174	5.62E-09	8.01E-07
AKR1B10	ENSG00000198074	8.557081263	-3.145071293	1.033150513	-3.044155962	0.002333341	0.029397038
SCGB3A1	ENSG00000161055	98048.13835	-3.106237379	0.503956854	-6.163697062	7.11E-10	1.69E-07
NA	ENSG00000254561	28.21965342	-3.10027389	0.509954588	-6.079509752	1.21E-09	2.55E-07
NA	ENSG00000255807	9.555996035	-3.049033695	0.874228228	-3.487686162	0.00048722	0.008620822
NA	ENSG00000258676	13.85094103	-3.047434661	0.886552871	-3.437397543	0.000587333	0.010022607
NA	ENSG00000242136	9.532178493	-3.010238195	0.96400261	-3.122645276	0.001792336	0.024066127
NA	ENSG00000264187	118.2280212	-2.997906043	0.72128895	-4.15631772	3.23E-05	0.000965825
NA	ENSG00000248954	60.20898098	-2.980599575	0.460206346	-6.476659005	9.38E-11	3.42E-08
NA	ENSG00000250940	12.94554456	-2.943777937	0.903560782	-3.257974443	0.001122105	0.016633966
NA	ENSG00000272256	704.7633377	-2.943609172	0.810369548	-3.632428165	0.000280767	0.005528532
PIP	ENSG00000159763	195.7137169	-2.938266403	0.836208955	-3.513794471	0.000441754	0.00800329
FEZF1-AS1	ENSG00000230316	325.8508506	-2.931983888	0.481397971	-6.090561369	1.13E-09	2.44E-07
NA	ENSG00000260036	8.927490706	-2.918659292	0.924662924	-3.156457577	0.001596981	0.021944579
VWC2L	ENSG00000174453	16.27433083	-2.913331558	0.673052073	-4.328538122	1.50E-05	0.000507773
PCDHB1	ENSG00000171815	51.64473867	-2.907604923	0.534636072	-5.43847502	5.37E-08	4.74E-06
KNCN	ENSG00000162456	26.87474105	-2.887524801	0.828125323	-3.486821042	0.000488798	0.008643443
NA	ENSG00000217330	31.47468415	-2.884940679	0.660549338	-4.367487052	1.26E-05	0.000438039
B3GNT6	ENSG00000198488	176.3765312	-2.88174917	0.67200592	-4.288279441	1.80E-05	0.00058972
EPPIN-WFDC6	ENSG00000249139	47.35113903	-2.866547585	0.535102163	-5.357009899	8.46E-08	6.84E-06
WFDC6	ENSG00000243543	316.5348916	-2.849004417	0.426735105	-6.676283209	2.45E-11	1.26E-08
IVL	ENSG00000163207	97.43711701	-2.847037338	0.436425965	-6.523528774	6.87E-11	2.71E-08
NA	ENSG00000257048	9.915058081	-2.822085541	0.899968391	-3.135760733	0.00171409	0.023199445
NA	ENSG00000218793	34.14597742	-2.811316888	0.560869958	-5.012421951	5.37E-07	3.25E-05
PPIAP46	ENSG00000260266	26.71835055	-2.781766133	0.660360964	-4.212493298	2.53E-05	0.000786044
NA	ENSG00000223991	1883.517389	-2.778005551	0.472649543	-5.877516633	4.16E-09	6.35E-07
NA	ENSG00000238189	23.84476459	-2.776407359	0.692669706	-4.008270224	6.12E-05	0.001624388
CRISP3	ENSG00000096006	192.8463248	-2.762283225	0.712010562	-3.879553723	0.000104648	0.002516804
NA	ENSG00000227220	9.81665767	-2.744724765	0.870188089	-3.154174137	0.00160953	0.022074871
NA	ENSG00000262583	59.78336098	-2.740924076	0.891383468	-3.074910153	0.00210566	0.027170656
FEZF1	ENSG00000128610	207.2012842	-2.697717513	0.483070718	-5.584518813	2.34E-08	2.51E-06
NA	ENSG00000266341	28.64086184	-2.687127214	0.884641159	-3.037533566	0.002385228	0.029867749
NA	ENSG00000278134	12.54001656	-2.682522515	0.806416466	-3.326472891	0.000879526	0.013757833
NA	ENSG00000272814	14.09131008	-2.679102377	0.710358263	-3.771480558	0.000162282	0.003552676
NA	ENSG00000272281	66.40852145	-2.677776855	0.406139093	-6.593250685	4.30E-11	1.94E-08
LOC442028	ENSG00000259848	309.2485095	-2.652995825	0.446757764	-5.938331779	2.88E-09	4.90E-07
CHRNA9	ENSG00000174343	80.85355631	-2.631482503	0.539730683	-4.875547352	1.09E-06	5.89E-05
EREG	ENSG00000124882	14.68424577	-2.627628316	0.729340601	-3.602745152	0.000314874	0.006087709
MUC5AC	ENSG00000215182	377.7208007	-2.62376181	0.754774633	-3.476218856	0.000508537	0.008932133
BTBD16	ENSG00000138152	31.49694337	-2.619712479	0.591026539	-4.432478584	9.32E-06	0.000348735
NA	ENSG00000279827	7.435613552	-2.615650369	0.883076741	-2.961974026	0.003056736	0.035800369
NA	ENSG00000254814	14.42223542	-2.61446686	0.833259793	-3.137637124	0.001703156	0.023096261
SCGB1A1	ENSG00000149021	491243.6434	-2.608555402	0.383461494	-6.802652786	1.03E-11	6.43E-09
BEST4	ENSG00000142959	1633.415227	-2.591706287	0.36729807	-7.056139132	1.71E-12	1.54E-09
LINC02257	ENSG00000238042	13.52058643	-2.582164603	0.739328518	-3.492580819	0.000478377	0.008511441
ALOX15	ENSG00000161905	4339.135891	-2.580367232	0.458067765	-5.633156111	1.77E-08	2.01E-06
NA	ENSG00000267110	35.8393474	-2.571580114	0.855054116	-3.007505684	0.002634012	0.032157734
LOC101927023	ENSG00000251076	24.46943392	-2.557765324	0.718369982	-3.56051253	0.000370132	0.006941596
NA	ENSG00000226812	153.9564623	-2.557524505	0.387235237	-6.604575886	3.99E-11	1.85E-08
THEGL	ENSG00000249693	8.499523845	-2.551407996	0.826910767	-3.085469556	0.00203231	0.026485355
NA	ENSG00000226552	13.96869009	-2.550407509	0.780172718	-3.269029345	0.001079171	0.016122043
NA	ENSG00000243894	12.99063874	-2.549995016	0.705517175	-3.614362775	0.000301087	0.005864479
NA	ENSG00000237169	11.41625264	-2.548232418	0.744076677	-3.424690623	0.0006155	0.010380205
HNF4A	ENSG00000101076	267.6641607	-2.545693972	0.387030598	-6.577500544	4.78E-11	2.09E-08
NA	ENSG00000231098	9.983056904	-2.544150746	0.738404798	-3.445468874	0.00057007	0.009803563
DCAF12L1	ENSG00000198889	31.73647542	-2.543695903	0.522228074	-4.870852471	1.11E-06	6.00E-05
NA	ENSG00000256691	12.79777817	-2.538605169	0.756128537	-3.357372518	0.00078687	0.012584677
ZNF84-DT	ENSG00000246394	18.27363655	-2.527141395	0.627012702	-4.030446892	5.57E-05	0.001497808
NA	ENSG00000255446	508.8345601	-2.51920215	0.406721571	-6.193923146	5.87E-10	1.47E-07
SOWAHA	ENSG00000198944	68.34497486	-2.518606645	0.571416655	-4.407653548	1.04E-05	0.000381094
FCGBP	ENSG00000275395	25641.63162	-2.517064277	0.497399857	-5.060444312	4.18E-07	2.63E-05
NA	ENSG00000244361	28.51192891	-2.505792132	0.654103603	-3.830879572	0.000127686	0.002945372
SLC15A1	ENSG00000088386	65.87666699	-2.489293613	0.633857552	-3.927212994	8.59E-05	0.00214378
ADGRA1	ENSG00000197177	182.935138	-2.488754424	0.469843505	-5.296985907	1.18E-07	8.99E-06
TGFBR3L	ENSG00000260001	136.5658861	-2.479664553	0.667661685	-3.713953655	0.000204046	0.004250421
NA	ENSG00000232135	6.785998802	-2.475855827	0.870310979	-2.844794431	0.004444009	0.047312922
MSMB	ENSG00000263639	235.6192099	-2.473784363	0.86722864	-2.852516912	0.00433745	0.04652255
ADGRF2	ENSG00000164393	97.36864973	-2.473431261	0.398579878	-6.205609969	5.45E-10	1.40E-07
DLEC1	ENSG00000008226	22540.90701	-2.469870078	0.312058906	-7.914755928	2.48E-15	6.48E-12
NA	ENSG00000225647	31.94803629	-2.465811101	0.517324262	-4.766471018	1.87E-06	9.33E-05
SST	ENSG00000157005	19.73520831	-2.455388443	0.684737012	-3.585885386	0.000335936	0.006404596
LOC100129175	ENSG00000224090	215.2891169	-2.446045218	0.441839414	-5.536050293	3.09E-08	3.07E-06
OPRK1	ENSG00000082556	16.02245394	-2.441890981	0.58961701	-4.14148666	3.45E-05	0.001018835
NA	ENSG00000262362	20.00829443	-2.441498804	0.638004469	-3.826773831	0.000129834	0.002978209
NA	ENSG00000270090	17.37426359	-2.43285438	0.703576306	-3.457840125	0.000544524	0.009428394
UGT2B15	ENSG00000196620	120.0584944	-2.429789021	0.375765472	-6.466238126	1.00E-10	3.57E-08
PRR18	ENSG00000176381	1382.701324	-2.425854223	0.450606985	-5.383525563	7.30E-08	6.15E-06
EPPIN	ENSG00000101448	187.5561524	-2.424732332	0.477005933	-5.083233069	3.71E-07	2.39E-05
LINC01602	ENSG00000205293	14.83654764	-2.410838399	0.665852402	-3.620679885	0.00029383	0.00574645
NA	ENSG00000279813	1142.247044	-2.408771971	0.576959001	-4.174944781	2.98E-05	0.000902261
MRLN	ENSG00000227877	81.85448449	-2.405764713	0.401154697	-5.997099707	2.01E-09	3.76E-07
C1QTNF8	ENSG00000184471	198.4402453	-2.404601415	0.55184966	-4.357348731	1.32E-05	0.000453876
NA	ENSG00000259508	44.76300372	-2.400876689	0.546123872	-4.396212675	1.10E-05	0.000394738
NA	ENSG00000253223	165.1517614	-2.399104086	0.308961663	-7.765054299	8.16E-15	1.81E-11
NA	ENSG00000233313	11.71559526	-2.397831854	0.636934577	-3.764643878	0.000166787	0.003626595
NA	ENSG00000243429	17.20092534	-2.387558181	0.677362704	-3.524785418	0.000423826	0.007751653
NA	ENSG00000260604	112.5340639	-2.383178666	0.638311398	-3.73356746	0.000188787	0.003987372
NA	ENSG00000267078	479.7458723	-2.382608183	0.397871425	-5.988387281	2.12E-09	3.91E-07
NA	ENSG00000266217	10.14733649	-2.380158837	0.77845384	-3.05754653	0.00223157	0.028338083
NA	ENSG00000262920	15.52815441	-2.377753552	0.724219792	-3.283193277	0.001026383	0.015478002
NA	ENSG00000229900	16.85602929	-2.373548897	0.666073407	-3.563494464	0.00036595	0.006872133
NA	ENSG00000260500	74.12923581	-2.370770778	0.603764958	-3.926645204	8.61E-05	0.002146984
NA	ENSG00000263450	25.6781506	-2.370017786	0.661293844	-3.583910252	0.000338488	0.006444712
CPEB1-AS1	ENSG00000259462	93.03547424	-2.367119196	0.499920146	-4.734994611	2.19E-06	0.000105307
LINC01101	ENSG00000280409	11.57371212	-2.363823467	0.793195523	-2.98012709	0.002881288	0.034204752
ARX	ENSG00000004848	387.751836	-2.359105711	0.491605603	-4.7987771	1.60E-06	8.21E-05
TCTEX1D4	ENSG00000188396	817.966437	-2.357414542	0.48127563	-4.898262857	9.67E-07	5.34E-05
PRMT8	ENSG00000111218	1680.437915	-2.35464781	0.326259151	-7.217108866	5.31E-13	5.27E-10
NA	ENSG00000279537	46.55796249	-2.353161979	0.543185288	-4.332153375	1.48E-05	0.000501863
LINC01267	ENSG00000251576	955.8502933	-2.34297494	0.334802208	-6.998086879	2.59E-12	2.26E-09
C5orf46	ENSG00000178776	151.0905304	-2.34183292	0.326951907	-7.162621994	7.91E-13	7.35E-10
NA	ENSG00000259087	458.9013096	-2.33985309	0.481599835	-4.858500601	1.18E-06	6.33E-05
RSPH10B	ENSG00000155026	2968.794193	-2.33314828	0.254141428	-9.180511399	4.29E-20	6.18E-16
NA	ENSG00000231859	17.48829945	-2.324936654	0.597487925	-3.891186007	9.98E-05	0.002417306
NA	ENSG00000273618	15.09575372	-2.32368094	0.700681003	-3.316317884	0.00091212	0.014132462
WNT8B	ENSG00000075290	52.81973442	-2.314355388	0.457331303	-5.06056632	4.18E-07	2.63E-05
NA	ENSG00000228541	62.52608374	-2.314273065	0.468862333	-4.935933009	7.98E-07	4.55E-05
NA	ENSG00000230628	721.1907691	-2.307967478	0.371491731	-6.212702161	5.21E-10	1.37E-07
SLC4A9	ENSG00000113073	42.9616306	-2.303569324	0.472085964	-4.879554782	1.06E-06	5.79E-05
GJB7	ENSG00000164411	652.0240405	-2.298079875	0.299777171	-7.665960241	1.77E-14	3.19E-11
LINC02671	ENSG00000224714	44.0865001	-2.298014634	0.393877009	-5.834345699	5.40E-09	7.84E-07
CROCC2	ENSG00000226321	6125.347369	-2.29121488	0.480999553	-4.763444929	1.90E-06	9.41E-05
MORN5	ENSG00000185681	2527.590959	-2.285966979	0.312176349	-7.322678317	2.43E-13	2.92E-10
NA	ENSG00000265374	23.09171524	-2.282512117	0.624192483	-3.656743998	0.000255439	0.005110205
CH507-42P11.6	ENSG00000280179	22.47448758	-2.275357943	0.737961636	-3.083301126	0.002047179	0.026630902
LINC02473	ENSG00000261121	30.10107041	-2.27108603	0.55481561	-4.093406869	4.25E-05	0.001203267
TTLL9	ENSG00000131044	2972.232093	-2.265706465	0.304791839	-7.433619193	1.06E-13	1.60E-10
NA	ENSG00000236476	12.17411626	-2.265016271	0.681702607	-3.322587077	0.000891868	0.013870937
NA	ENSG00000258946	32.40621466	-2.259541208	0.403329759	-5.602217937	2.12E-08	2.33E-06
NA	ENSG00000275944	45.16590158	-2.252305706	0.473280974	-4.758918762	1.95E-06	9.58E-05
CCDC187	ENSG00000260220	3305.65691	-2.24515502	0.528452211	-4.248548828	2.15E-05	0.00068746
NA	ENSG00000269091	230.6534361	-2.238011213	0.260815119	-8.580833878	9.42E-18	9.04E-14
CLDN16	ENSG00000113946	767.5712765	-2.234315125	0.286816169	-7.790059871	6.70E-15	1.61E-11
PCSK1N	ENSG00000102109	623.5437054	-2.229820203	0.546529674	-4.079961817	4.50E-05	0.001262526
HCN4	ENSG00000138622	530.8345809	-2.226567874	0.405257347	-5.494207304	3.92E-08	3.68E-06
NA	ENSG00000280180	23.05911152	-2.22649966	0.528258834	-4.214789262	2.50E-05	0.000778932
NA	ENSG00000228792	18.76614777	-2.22552088	0.545659675	-4.078587777	4.53E-05	0.001263941
NA	ENSG00000267764	31.68216892	-2.220677805	0.730007376	-3.041993653	0.002350168	0.029570214
CYP2F1	ENSG00000197446	3765.946272	-2.21923523	0.422519376	-5.252386883	1.50E-07	1.12E-05
NA	ENSG00000261104	59.05151056	-2.215054755	0.482718576	-4.588708335	4.46E-06	0.000190495
PLPPR3	ENSG00000129951	4164.041521	-2.213501274	0.681393468	-3.248492066	0.001160184	0.017040505
NA	ENSG00000266373	38.94209612	-2.212140993	0.648387616	-3.411757008	0.000645456	0.010771823
NA	ENSG00000246250	142.1506868	-2.21019536	0.411178127	-5.375274642	7.65E-08	6.34E-06
NA	ENSG00000230710	33.92393896	-2.206028213	0.698280238	-3.159230481	0.001581863	0.021809714
VSIG8	ENSG00000243284	195.1373834	-2.204471293	0.470439026	-4.685987283	2.79E-06	0.000130207
NA	ENSG00000238837	40.10366076	-2.202528746	0.620013498	-3.552388381	0.000381751	0.007103084
RSPH10B2	ENSG00000169402	1832.223391	-2.200173505	0.372135993	-5.912283533	3.37E-09	5.46E-07
NA	ENSG00000223920	27.25325202	-2.192405366	0.537399132	-4.079659294	4.51E-05	0.001262526
UMODL1-AS1	ENSG00000184385	684.1453295	-2.189286788	0.348640827	-6.279490585	3.40E-10	1.02E-07
CYP4F29P	ENSG00000228314	422.0721551	-2.186820487	0.29627004	-7.381173229	1.57E-13	2.05E-10
NA	ENSG00000251484	30.45345928	-2.185195011	0.571006742	-3.826916304	0.000129759	0.002978209
TTLL10-AS1	ENSG00000205231	857.7859315	-2.185073776	0.584020622	-3.741432569	0.000182974	0.003890298
NA	ENSG00000267577	35.81461109	-2.177666976	0.697189385	-3.123494163	0.001787174	0.024008011
C10orf95	ENSG00000120055	1989.528849	-2.176266495	0.570078797	-3.817483663	0.00013482	0.003065711
CCDC33	ENSG00000140481	2827.448483	-2.163998201	0.345848626	-6.257067516	3.92E-10	1.10E-07
NA	ENSG00000273971	22.23242428	-2.161720501	0.669862259	-3.227111948	0.001250465	0.01812608
DNAH10	ENSG00000197653	8196.492174	-2.158912032	0.314313041	-6.868668342	6.48E-12	4.78E-09
FRMPD2	ENSG00000170324	1549.213134	-2.155201199	0.380015417	-5.671352014	1.42E-08	1.70E-06
MROH9	ENSG00000117501	1343.996975	-2.155137463	0.258026182	-8.352398359	6.69E-17	3.85E-13
UROC1	ENSG00000159650	67.93520818	-2.154368083	0.395891183	-5.441818796	5.27E-08	4.70E-06
NA	ENSG00000227914	16.21080292	-2.153865152	0.725428839	-2.969092261	0.002986809	0.035167386
DNAAF1	ENSG00000154099	30886.28493	-2.15245899	0.326718957	-6.588105601	4.45E-11	1.97E-08
NA	ENSG00000272235	112.8280458	-2.151178278	0.374351707	-5.746409688	9.12E-09	1.19E-06
ADGRF4	ENSG00000153294	120.6855055	-2.149165705	0.358125482	-6.001152699	1.96E-09	3.71E-07
GRM5	ENSG00000168959	151.8426095	-2.140128261	0.385430453	-5.552566601	2.82E-08	2.86E-06
LHX9	ENSG00000143355	21.39225894	-2.139934325	0.560368566	-3.818797937	0.000134104	0.003055615
LINC00689	ENSG00000231419	418.9167784	-2.135182453	0.329784933	-6.474469397	9.51E-11	3.42E-08
CFAP99	ENSG00000206113	471.6449487	-2.134654534	0.469040524	-4.551108965	5.34E-06	0.000220724
CFAP74	ENSG00000142609	8016.528191	-2.132139824	0.418701808	-5.092263231	3.54E-07	2.31E-05
SCGB2A1	ENSG00000124939	277.0897038	-2.131704245	0.410496067	-5.192995545	2.07E-07	1.46E-05
TEKT4	ENSG00000163060	2886.732676	-2.13164704	0.392501256	-5.430930491	5.61E-08	4.86E-06
DNAH2	ENSG00000183914	7946.665633	-2.128667876	0.32420565	-6.565795116	5.18E-11	2.22E-08
SLC28A2	ENSG00000137860	1262.5306	-2.128525487	0.255605902	-8.327372225	8.27E-17	3.97E-13
TCP11X1	ENSG00000268235	42.52330015	-2.12136615	0.618308252	-3.430920002	0.000601538	0.01020255
NA	ENSG00000260936	799.5899865	-2.118154681	0.395691139	-5.353050581	8.65E-08	6.96E-06
NA	ENSG00000278772	23.66543112	-2.113193215	0.74681169	-2.829619895	0.004660333	0.049017786
ACP7	ENSG00000183760	42.33542516	-2.108776122	0.594144473	-3.549264895	0.000386308	0.00717024
CTXN1	ENSG00000178531	3051.511074	-2.107799061	0.685777309	-3.07359114	0.002114991	0.027242216
FOXI2	ENSG00000186766	18.87534966	-2.107627545	0.641321593	-3.286381697	0.001014834	0.015344033
LRRC73	ENSG00000204052	686.8670098	-2.107451859	0.554609279	-3.799885687	0.000144763	0.003243138
GSTA3	ENSG00000174156	1023.885211	-2.105686244	0.272795334	-7.718923246	1.17E-14	2.25E-11
NA	ENSG00000254608	158.0050816	-2.10357648	0.355504629	-5.917156371	3.28E-09	5.44E-07
DOC2A	ENSG00000149927	5215.20966	-2.103226773	0.438539684	-4.79597822	1.62E-06	8.29E-05
CFAP65	ENSG00000181378	11345.0271	-2.096428323	0.337072816	-6.21951171	4.99E-10	1.33E-07
NA	ENSG00000262890	1055.949545	-2.092076479	0.2834273	-7.381351348	1.57E-13	2.05E-10
NA	ENSG00000268108	17.8336871	-2.087005035	0.692625488	-3.013179662	0.002585258	0.031683445
CHST5	ENSG00000135702	293.2754183	-2.083250934	0.529122311	-3.937182176	8.24E-05	0.002072837
NA	ENSG00000233155	135.2709451	-2.082312047	0.611420308	-3.405696575	0.000659955	0.01095662
RNF126P1	ENSG00000261192	22.47735202	-2.080028376	0.497228536	-4.18324417	2.87E-05	0.000875455
XDH	ENSG00000158125	573.6154161	-2.079136768	0.332679864	-6.249662194	4.11E-10	1.11E-07
FABP6	ENSG00000170231	5763.845206	-2.07812658	0.261446563	-7.948571037	1.89E-15	5.43E-12
NA	ENSG00000226580	8.630552544	-2.077676615	0.721684368	-2.878927003	0.003990307	0.043628163
NA	ENSG00000232462	63.32786652	-2.076022317	0.488490629	-4.249871322	2.14E-05	0.000684935
LRRC74B	ENSG00000187905	3856.160959	-2.074178034	0.365750409	-5.671020406	1.42E-08	1.70E-06
NA	ENSG00000270265	11.96320666	-2.072758596	0.684540903	-3.027954338	0.002462153	0.030553654
NA	ENSG00000269806	36.10966057	-2.071419443	0.461449571	-4.488940008	7.16E-06	0.000281888
CFAP46	ENSG00000171811	6445.809689	-2.064610933	0.390921443	-5.281395965	1.28E-07	9.69E-06
AQP2	ENSG00000167580	27.86601038	-2.061971851	0.472510559	-4.363864068	1.28E-05	0.000444284
GPR156	ENSG00000175697	470.371954	-2.061525697	0.329576024	-6.255083947	3.97E-10	1.10E-07
ECT2L	ENSG00000203734	1396.215468	-2.061401652	0.310431533	-6.640438971	3.13E-11	1.58E-08
LMO1	ENSG00000166407	159.4288572	-2.061222773	0.336336087	-6.128461535	8.87E-10	2.01E-07
ABCA13	ENSG00000179869	4034.78559	-2.0607317	0.532941873	-3.866710054	0.000110313	0.002620218
NA	ENSG00000254973	43.73864553	-2.060512257	0.525938362	-3.917782778	8.94E-05	0.002210225
NA	ENSG00000258952	37.17769329	-2.059508441	0.591617892	-3.481146309	0.000499273	0.008812423
TTLL6	ENSG00000170703	1591.705293	-2.056774841	0.284911243	-7.219002031	5.24E-13	5.27E-10
NA	ENSG00000258699	211.6561788	-2.056158259	0.495778596	-4.14733164	3.36E-05	0.000999329
NA	ENSG00000226912	10.88228679	-2.052915851	0.704716076	-2.913110571	0.003578479	0.040241111
NA	ENSG00000242104	21.72290376	-2.052775085	0.693885127	-2.958378853	0.003092618	0.036099189
NA	ENSG00000266106	78.31742417	-2.052064305	0.559247981	-3.669328053	0.000243189	0.004912927
NA	ENSG00000242034	62.09564997	-2.051957892	0.420185719	-4.883454624	1.04E-06	5.72E-05
NA	ENSG00000247699	204.860598	-2.050309474	0.431615447	-4.750315331	2.03E-06	9.91E-05
LDLRAD1	ENSG00000203985	6891.060246	-2.046112934	0.296040286	-6.911603012	4.79E-12	3.73E-09
CFAP157	ENSG00000160401	32151.22032	-2.04429601	0.39136442	-5.223510128	1.76E-07	1.26E-05
CCDC17	ENSG00000159588	25099.87022	-2.04406716	0.369153601	-5.537172483	3.07E-08	3.06E-06
NA	ENSG00000249773	102.4228382	-2.0440548	0.512431661	-3.988931513	6.64E-05	0.001737005
LINC00637	ENSG00000258735	21.05188403	-2.039789504	0.456621614	-4.467133048	7.93E-06	0.000306742
ERN2	ENSG00000134398	1555.687397	-2.039562608	0.622696536	-3.275371696	0.00105523	0.015821092
NA	ENSG00000251307	144.6402351	-2.039523676	0.434315176	-4.695953052	2.65E-06	0.000124623
CWH43	ENSG00000109182	1142.068776	-2.038433714	0.243949462	-8.355967246	6.49E-17	3.85E-13
INSRR	ENSG00000027644	65.12663878	-2.037186579	0.462211105	-4.407480816	1.05E-05	0.000381094
